D,Close,Date
181,11928.75,28-May-19
182,11861.1,29-May-19
183,11945.9,30-May-19
184,11922.8,31-May-19
185,12088.55,03-Jun-19
186,12021.65,04-Jun-19
187,11843.75,06-Jun-19
188,11870.65,07-Jun-19
189,11922.7,10-Jun-19
190,11965.6,11-Jun-19
191,11906.2,12-Jun-19
192,11914.05,13-Jun-19
193,11823.3,14-Jun-19
194,11672.15,17-Jun-19
195,11691.5,18-Jun-19
196,11691.45,19-Jun-19
197,11831.75,20-Jun-19
198,11724.1,21-Jun-19
199,11699.65,24-Jun-19
200,11796.45,25-Jun-19
201,11847.55,26-Jun-19
202,11841.55,27-Jun-19
203,11788.85,28-Jun-19
204,11865.6,01-Jul-19
205,11910.3,02-Jul-19
206,11916.75,03-Jul-19
207,11946.75,04-Jul-19
208,11811.15,05-Jul-19
209,11558.6,08-Jul-19
210,11555.9,09-Jul-19
211,11498.9,10-Jul-19
212,11582.9,11-Jul-19
213,11552.5,12-Jul-19
214,11588.35,15-Jul-19
215,11662.6,16-Jul-19
216,11687.5,17-Jul-19
217,11596.9,18-Jul-19
218,11419.25,19-Jul-19
219,11346.2,22-Jul-19
220,11331.05,23-Jul-19
221,11271.3,24-Jul-19
222,11252.15,25-Jul-19
223,11284.3,26-Jul-19
224,11189.2,29-Jul-19
225,11085.4,30-Jul-19
226,11118,31-Jul-19
227,10980,01-Aug-19
228,10997.35,02-Aug-19
229,10862.6,05-Aug-19
230,10948.25,06-Aug-19
231,10855.5,07-Aug-19
232,11032.45,08-Aug-19
233,11109.65,09-Aug-19
234,10925.85,13-Aug-19
235,11029.4,14-Aug-19
236,11047.8,16-Aug-19
237,11053.9,19-Aug-19
238,11017,20-Aug-19
239,10918.7,21-Aug-19
240,10741.35,22-Aug-19
241,10829.35,23-Aug-19
242,11057.85,26-Aug-19
